Date|Symbol|Short Volume|Total Volume|Market
20160121|A|70818|165383|P
20160121|AA|1866193|2468979|P
20160121|AA-B|300|10150|P
20160121|AAAP|500|1200|P
20160121|AAC|2700|6800|P
20160121|AADR|100|334|P
20160121|AAL|724052|1009251|P
20160121|AAMC|700|3492|P
20160121|AAME|100|875|P
20160121|AAN|39824|96811|P
20160121|AAOI|3400|18000|P
20160121|AAON|5456|8956|P
20160121|AAP|48662|75313|P
20160121|AAPL|3154963|5658329|P
20160121|AAT|7499|22412|P
20160121|AAU|773|1348|P
20160121|AAV|5500|8100|P
20160121|AAVL|30470|38543|P
20160121|AAWW|13809|29616|P
20160121|AAXJ|121097|183276|P
20160121|AB|10190|22366|P
20160121|ABAX|7041|9041|P
20160121|ABB|247029|314951|P
20160121|ABBV|383052|678818|P
20160121|ABC|128643|187616|P
20160121|ABCB|14932|21332|P
20160121|ABCD|9474|30826|P
20160121|ABCO|5030|10032|P
20160121|ABCW|4800|28700|P
20160121|ABDC|3800|11200|P
20160121|ABE|1811|3500|P
20160121|ABEO|2900|4510|P
20160121|ABEV|1184218|2703121|P
20160121|ABG|16236|41017|P
20160121|ABGB|0|11500|P
20160121|ABIL|0|4800|P
20160121|ABIO|200|200|P
20160121|ABM|11077|25858|P
20160121|ABMD|58700|82226|P
20160121|ABR|1600|4100|P
20160121|ABR-A|0|657|P
20160121|ABRN|0|100|P
20160121|ABT|232359|465111|P
20160121|ABTL|9834|16949|P
20160121|ABTX|800|3100|P
20160121|ABUS|5772|16752|P
20160121|ABX|877940|1489385|P
20160121|ABY|41144|218478|P
20160121|AC|0|300|P
20160121|ACAD|70468|158887|P
20160121|ACAS|377494|640254|P
20160121|ACAT|40066|57518|P
20160121|ACBI|0|5600|P
20160121|ACC|32809|38809|P
20160121|ACCO|23643|59479|P
20160121|ACET|14434|29518|P
20160121|ACFC|200|200|P
20160121|ACG|2683|8083|P
20160121|ACGL|44102|68109|P
20160121|ACH|4700|5705|P
20160121|ACHC|68026|110890|P
20160121|ACHN|100779|215746|P
20160121|ACIW|12818|30758|P
20160121|ACLS|40337|52607|P
20160121|ACM|114533|142871|P
20160121|ACN|198147|417355|P
20160121|ACNB|1800|3557|P
20160121|ACOR|44102|87295|P
20160121|ACP|500|1600|P
20160121|ACPW|1000|1200|P
20160121|ACRE|2200|4607|P
20160121|ACRS|1500|2000|P
20160121|ACRX|16288|44606|P
20160121|ACSF|2295|6472|P
20160121|ACST|0|1400|P
20160121|ACTA|2700|3900|P
20160121|ACTG|72211|90620|P
20160121|ACTS|400|500|P
20160121|ACUR|1100|1200|P
20160121|ACV|1000|11922|P
20160121|ACW|1200|25092|P
20160121|ACWI|204738|396577|P
20160121|ACWV|12076|42321|P
20160121|ACWX|108531|437651|P
20160121|ACXM|13926|24022|P
20160121|ADAP|11533|15333|P
20160121|ADAT|200|200|P
20160121|ADBE|144303|332579|P
20160121|ADC|8522|13734|P
20160121|ADGE|0|100|P
20160121|ADHD|2880|12480|P
20160121|ADI|174137|432857|P
20160121|ADK|0|1700|P
20160121|ADK-A|0|400|P
20160121|ADM|158282|357866|P
20160121|ADMA|800|2634|P
20160121|ADMP|200|400|P
20160121|ADMS|22892|35848|P
20160121|ADP|205222|288052|P
20160121|ADPT|30671|47605|P
20160121|ADRD|600|1521|P
20160121|ADRE|100|100|P
20160121|ADRO|26771|48885|P
20160121|ADS|25599|42046|P
20160121|ADSK|146185|230958|P
20160121|ADT|69446|146008|P
20160121|ADTN|134699|239425|P
20160121|ADUS|1600|3500|P
20160121|ADX|6426|40224|P
20160121|ADXS|42052|76382|P
20160121|ADXSW|0|4848|P
20160121|AE|252|752|P
20160121|AEB|100|351|P
20160121|AED|200|200|P
20160121|AEE|47734|89957|P
20160121|AEG|117086|169246|P
20160121|AEGN|14163|27105|P
20160121|AEGR|38271|55271|P
20160121|AEH|570|770|P
20160121|AEIS|18360|39060|P
20160121|AEK|300|300|P
20160121|AEL|64284|99475|P
20160121|AEM|107647|306087|P
20160121|AEMD|700|999|P
20160121|AEO|578356|749551|P
20160121|AEP|119779|196983|P
20160121|AEPI|1400|3200|P
20160121|AER|152722|280105|P
20160121|AERI|18596|28316|P
20160121|AES|502406|652981|P
20160121|AES-C|2910|3110|P
20160121|AET|129997|220754|P
20160121|AEUA|500|6700|P
20160121|AEZS|6818|20918|P
20160121|AF|53124|126432|P
20160121|AF-C|0|100|P
20160121|AFAM|3300|5288|P
20160121|AFB|1000|2100|P
20160121|AFC|100|100|P
20160121|AFCO|5200|14300|P
20160121|AFFX|100884|248653|P
20160121|AFG|17311|28330|P
20160121|AFGE|0|200|P
20160121|AFGH|244|344|P
20160121|AFH|400|1800|P
20160121|AFK|37524|44591|P
20160121|AFL|79844|125865|P
20160121|AFMD|23906|38797|P
20160121|AFOP|3964|9214|P
20160121|AFSD|1000|1600|P
20160121|AFSI|15800|27756|P
20160121|AFSI-A|100|100|P
20160121|AFSS|100|100|P
20160121|AFT|900|7000|P
20160121|AFTY|100|800|P
20160121|AG|62701|78052|P
20160121|AGC|300|2700|P
20160121|AGCO|50110|77179|P
20160121|AGD|3200|4800|P
20160121|AGEN|183803|379185|P
20160121|AGFS|2345|16445|P
20160121|AGFSW|0|900|P
20160121|AGG|374437|671527|P
20160121|AGGY|10900|11100|P
20160121|AGI|38253|66082|P
20160121|AGII|5074|10074|P
20160121|AGIIL|0|400|P
20160121|AGIO|120414|151412|P
20160121|AGM|1800|3471|P
20160121|AGM-C|0|300|P
20160121|AGN|112168|188302|P
20160121|AGNC|293327|358959|P
20160121|AGNCB|1724|2024|P
20160121|AGNCP|400|700|P
20160121|AGO|145399|195741|P
20160121|AGQ|9801|17552|P
20160121|AGR|17230|52648|P
20160121|AGRO|4100|10072|P
20160121|AGRX|2200|5800|P
20160121|AGTC|3800|10130|P
20160121|AGU|70556|91979|P
20160121|AGX|6213|9844|P
20160121|AGYS|1400|2100|P
20160121|AGZ|427|927|P
20160121|AHC|700|1742|P
20160121|AHGP|5800|93509|P
20160121|AHH|6233|9107|P
20160121|AHL|17799|32889|P
20160121|AHL-A|100|100|P
20160121|AHL-B|0|100|P
20160121|AHP|5053|16927|P
20160121|AHS|40172|76601|P
20160121|AHT|56002|96243|P
20160121|AHT-A|600|4400|P
20160121|AHT-D|1431|3112|P
20160121|AHT-E|100|100|P
20160121|AI|14308|32547|P
20160121|AIA|2900|21900|P
20160121|AIC|0|300|P
20160121|AIF|5100|15739|P
20160121|AIG|340988|697412|P
20160121|AIG+|4538|4871|P
20160121|AIMC|6210|17410|P
20160121|AIMT|11406|15806|P
20160121|AIN|4466|9666|P
20160121|AINC|0|200|P
20160121|AINV|132745|175461|P
20160121|AIQ|1700|2600|P
20160121|AIR|8434|12277|P
20160121|AIRI|198|698|P
20160121|AIRM|20577|28477|P
20160121|AIRR|0|100|P
20160121|AIT|6109|14263|P
20160121|AIV|46934|78301|P
20160121|AIXG|0|200|P
20160121|AIY|200|200|P
20160121|AIZ|49018|82118|P
20160121|AJG|40045|71879|P
20160121|AJRD|12740|28340|P
20160121|AJX|1900|2900|P
20160121|AKAM|170991|347909|P
20160121|AKAO|1600|8765|P
20160121|AKBA|50970|104619|P
20160121|AKER|0|400|P
20160121|AKG|1800|3800|P
20160121|AKO.A|0|2100|P
20160121|AKO.B|700|1000|P
20160121|AKP|100|1036|P
20160121|AKR|12649|22305|P
20160121|AKRX|133543|170485|P
20160121|AKS|35294|107850|P
20160121|AL|36829|77971|P
20160121|ALB|104491|117185|P
20160121|ALCO|100|400|P
20160121|ALD|450|750|P
20160121|ALDR|47051|61969|P
20160121|ALDW|1133|4933|P
20160121|ALDX|500|1800|P
20160121|ALE|27547|43176|P
20160121|ALEX|10644|17653|P
20160121|ALFA|36683|64565|P
20160121|ALFI|0|200|P
20160121|ALG|1954|6766|P
20160121|ALGN|20411|31991|P
20160121|ALGT|29587|57857|P
20160121|ALIM|6176|7176|P
20160121|ALJ|36392|52978|P
20160121|ALK|213268|336034|P
20160121|ALKS|391831|1096127|P
20160121|ALL|63992|186972|P
20160121|ALL-B|500|600|P
20160121|ALL-C|100|100|P
20160121|ALLE|32620|52345|P
20160121|ALLT|1300|14958|P
20160121|ALLY|208816|304995|P
20160121|ALLY-A|720|10510|P
20160121|ALLY-B|45000|45300|P
20160121|ALNY|81509|102227|P
20160121|ALOG|3088|6487|P
20160121|ALOT|300|800|P
20160121|ALP-O|500|800|P
20160121|ALQA|5400|7500|P
20160121|ALR|42396|96490|P
20160121|ALRM|14304|15304|P
20160121|ALSK|400|700|P
20160121|ALSN|58649|102065|P
20160121|ALTS|0|200|P
20160121|ALU|146278|207840|P
20160121|ALV|45587|79014|P
20160121|ALXA|100|3300|P
20160121|ALXN|109193|158277|P
20160121|AM|10575|39450|P
20160121|AMAG|31733|74816|P
20160121|AMAT|878890|1610939|P
20160121|AMBA|124004|226742|P
20160121|AMBC|14190|28943|P
20160121|AMBR|17662|26738|P
20160121|AMC|11559|22304|P
20160121|AMCC|25660|41904|P
20160121|AMCN|5098|90723|P
20160121|AMCO|0|200|P
20160121|AMCX|33613|64016|P
20160121|AMD|409929|1843221|P
20160121|AMDA|200902|259179|P
20160121|AME|60640|121119|P
20160121|AMED|26094|61058|P
20160121|AMFW|12600|17771|P
20160121|AMG|16581|31477|P
20160121|AMGN|256064|448099|P
20160121|AMH|80448|101252|P
20160121|AMIC|1880|2480|P
20160121|AMID|15523|21323|P
20160121|AMJ|347103|837934|P
20160121|AMKR|54754|107872|P
20160121|AMLP|1485125|3428919|P
20160121|AMNB|900|1106|P
20160121|AMOT|1500|5932|P
20160121|AMOV|200|1300|P
20160121|AMP|38423|73662|P
20160121|AMPE|15723|36224|P
20160121|AMPH|6231|11531|P
20160121|AMRB|0|200|P
20160121|AMRC|1500|8400|P
20160121|AMRI|14622|28345|P
20160121|AMRK|1900|4088|P
20160121|AMRN|13291|31316|P
20160121|AMRS|10300|14600|P
20160121|AMSC|15706|17806|P
20160121|AMSF|3300|5110|P
20160121|AMSG|32312|58186|P
20160121|AMSWA|3000|7630|P
20160121|AMT|95066|203804|P
20160121|AMT-B|1668|2885|P
20160121|AMTD|719482|1031526|P
20160121|AMTG|5160|8183|P
20160121|AMTX|0|300|P
20160121|AMU|6400|47009|P
20160121|AMWD|7400|16763|P
20160121|AMX|145367|180290|P
20160121|AMZA|2240|6450|P
20160121|AMZN|207505|400299|P
20160121|AN|46751|75201|P
20160121|ANAC|35436|45331|P
20160121|ANAD|63890|177311|P
20160121|ANAT|6500|7000|P
20160121|ANCX|500|1400|P
20160121|ANDE|10266|16066|P
20160121|ANET|31345|40545|P
20160121|ANF|92483|179646|P
20160121|ANFI|1700|5950|P
20160121|ANGI|17605|43705|P
20160121|ANGL|3779|6603|P
20160121|ANGO|2100|4230|P
20160121|ANH|28291|67263|P
20160121|ANIK|7604|16093|P
20160121|ANIP|11513|19793|P
20160121|ANSS|55704|78107|P
20160121|ANTH|27878|57111|P
20160121|ANTM|91400|148577|P
20160121|ANTX|0|100|P
20160121|ANW|19083|44273|P
20160121|ANY|200|4100|P
20160121|AOA|2090|8717|P
20160121|AOD|3200|9000|P
20160121|AOI|1800|3906|P
20160121|AOK|5116|5466|P
20160121|AOM|0|21066|P
20160121|AON|26086|52780|P
20160121|AOR|2888|6331|P
20160121|AOS|66501|133588|P
20160121|AOSL|2200|4500|P
20160121|APA|340675|421907|P
20160121|APAM|63794|74752|P
20160121|APC|330378|788544|P
20160121|APD|35174|66919|P
20160121|APDN|2400|5300|P
20160121|APEI|5300|15963|P
20160121|APH|149146|245267|P
20160121|APHB|4368|7304|P
20160121|APIC|7400|9500|P
20160121|APLE|56083|75937|P
20160121|APLP|1222|104612|P
20160121|APO|38830|79448|P
20160121|APOG|21100|46712|P
20160121|APOL|116304|271304|P
20160121|APPF|700|1400|P
20160121|APPS|13400|21700|P
20160121|APPY|500|600|P
20160121|APRI|20794|26924|P
