Date|Symbol|Short Exempt Volume|Short Volume|Total Volume|Market
20181130|A|0|64470|138198|P
20181130|AA|900|141132|300260|P
20181130|AAAU|0|500|760|P
20181130|AABA|0|150523|525377|P
20181130|AAC|0|11799|15834|P
20181130|AADR|0|0|746|P
20181130|AAL|1000|323423|646365|P
20181130|AAMC|0|100|100|P
20181130|AAME|0|100|900|P
20181130|AAN|0|27681|31381|P
20181130|AAOI|0|35189|45038|P
20181130|AAON|0|7300|10800|P
20181130|AAP|0|20476|43061|P
20181130|AAPL|11559|1537710|2745109|P
20181130|AAT|0|10652|14670|P
20181130|AAU|2000|30306|40406|P
20181130|AAWW|0|3306|6500|P
20181130|AAXJ|0|55231|68909|P
20181130|AAXN|0|59601|91855|P
20181130|AB|0|6355|7605|P
20181130|ABAC|0|100|300|P
20181130|ABB|0|111045|206649|P
20181130|ABBV|0|285627|373954|P
20181130|ABC|0|47346|66777|P
20181130|ABCB|0|5475|8960|P
20181130|ABCD|0|929|4444|P
20181130|ABDC|0|300|540|P
20181130|ABEO|0|26234|31771|P
20181130|ABEOW|0|0|1000|P
20181130|ABEV|0|527558|1128402|P
20181130|ABG|0|8376|10176|P
20181130|ABIL|0|10892|23935|P
20181130|ABIO|100|1167|7767|P
20181130|ABM|0|6346|8846|P
20181130|ABMD|0|10697|16030|P
20181130|ABR|0|136617|524769|P
20181130|ABT|100|205987|323431|P
20181130|ABTX|0|1000|3100|P
20181130|ABUS|0|9418|16138|P
20181130|ABX|6400|468710|705464|P
20181130|AC|0|0|100|P
20181130|ACA|0|7069|16769|P
20181130|ACAD|0|86444|127231|P
20181130|ACB|71797|254112|310849|P
20181130|ACBI|0|7099|21335|P
20181130|ACC|0|22988|47202|P
20181130|ACCO|400|7000|9300|P
20181130|ACER|0|1600|1800|P
20181130|ACET|1804|11490|21565|P
20181130|ACGL|0|27049|63704|P
20181130|ACGLP|0|390|390|P
20181130|ACH|0|600|900|P
20181130|ACHC|0|52148|63251|P
20181130|ACHN|0|13701|25630|P
20181130|ACHV|0|4713|11554|P
20181130|ACIA|500|15778|51445|P
20181130|ACIM|0|0|1823|P
20181130|ACIU|0|2800|5706|P
20181130|ACIW|300|27806|59219|P
20181130|ACLS|0|10363|12662|P
20181130|ACM|0|42066|60617|P
20181130|ACMR|0|1148|1248|P
20181130|ACN|200|112204|199457|P
20181130|ACNB|0|0|100|P
20181130|ACOR|0|9325|23294|P
20181130|ACP|0|2197|2697|P
20181130|ACRE|0|1912|2512|P
20181130|ACRS|0|37300|68016|P
20181130|ACRX|800|46175|95997|P
20181130|ACSI|0|0|100|P
20181130|ACST|9100|23300|34700|P
20181130|ACTG|0|2700|6100|P
20181130|ACU|0|0|200|P
20181130|ACWI|0|412121|484105|P
20181130|ACWV|0|1579|1579|P
20181130|ACWX|0|129841|212352|P
20181130|ACY|0|0|100|P
20181130|ADAP|200|15006|49829|P
20181130|ADBE|0|144556|199161|P
20181130|ADC|0|5969|9269|P
20181130|ADES|0|3600|8434|P
20181130|ADI|0|99343|141766|P
20181130|ADIL|76607|1637842|2476313|P
20181130|ADILW|0|7907|8007|P
20181130|ADM|200|95764|150014|P
20181130|ADMA|0|7300|11365|P
20181130|ADMP|8125|12334|32476|P
20181130|ADMS|0|10223|18583|P
20181130|ADNT|0|30685|43945|P
