Date|Symbol|Short Volume|Total Volume|Market
20151008|AAL|9105|18620|A
20151008|AAMC|107|2334|A
20151008|AAPL|20684|138317|A
20151008|AAPR|0|0|A
20151008|AAU|6900|9900|A
20151008|ABE|1076|1401|A
20151008|ACHN|3493|4493|A
20151008|ACU|2251|2251|A
20151008|ACY|0|0|A
20151008|ADGE|4000|8039|A
20151008|ADK|0|110|A
20151008|ADKPRA|578|5605|A
20151008|AE|419|980|A
20151008|AGNC|13510|23076|A
20151008|AIII|134|134|A
20151008|AINC|421|627|A
20151008|AIRI|300|685|A
20151008|AKG|8157|16665|A
20151008|ALN|0|500|A
20151008|ALTV|700|700|A
20151008|AMAT|66619|101882|A
20151008|AMCO|0|10|A
20151008|AMD|14896|17792|A
20151008|AMPE|36680|51640|A
20151008|AMS|0|0|A
20151008|APHB|3665|5965|A
20151008|APT|720|4387|A
20151008|ARIA|12399|19086|A
20151008|ARNA|1570|4870|A
20151008|ASBWS|100|100|A
20151008|ASM|1650|5150|A
20151008|AST|11603|20488|A
20151008|ATML|14577|17129|A
20151008|ATNM|4707|13180|A
20151008|ATVI|2680|4682|A
20151008|AUMN|445|1426|A
20151008|AVL|24293|51795|A
20151008|AWX|0|25|A
20151008|AXN|4898|18995|A
20151008|AXU|6231|11891|A
20151008|AXX|0|1300|A
20151008|BAA|25114|146748|A
20151008|BBRY|6818|11122|A
20151008|BCV|100|816|A
20151008|BDL|0|0|A
20151008|BDR|2416|3364|A
20151008|BFY|0|1017|A
20151008|BGI|0|0|A
20151008|BGSF|200|500|A
20151008|BHB|577|1957|A
20151008|BHV|392|506|A
20151008|BIRPRACL|4199|18897|A
20151008|BKJ|0|100|A
20151008|BLDP|15365|19001|A
20151008|BLE|279|3871|A
20151008|BLJ|0|446|A
20151008|BPMX|928|1352|A
20151008|BRCD|6329|14552|A
20151008|BRG|3004|7250|A
20151008|BRN|0|0|A
20151008|BTG|139014|253387|A
20151008|BTI|6339|21132|A
20151008|BTN|750|11598|A
20151008|BTX|36855|60587|A
20151008|BTXWS|0|309|A
20151008|BVX|2525|7656|A
20151008|BWLA|0|33|A
20151008|BZC|475|3590|A
20151008|BZM|0|0|A
20151008|CA|19754|33835|A
20151008|CANF|89877|150140|A
20151008|CAW|0|4|A
20151008|CCA|3927|3927|A
20151008|CCF|1161|2437|A
20151008|CEF|21112|34108|A
20151008|CET|900|2917|A
20151008|CEV|222|1380|A
20151008|CFD|100|600|A
20151008|CH|401|3489|A
20151008|CIK|6342|29025|A
20151008|CIX|0|0|A
20151008|CKX|0|0|A
20151008|CLM|4494|9423|A
20151008|CMT|855|3435|A
20151008|CNR|0|0|A
20151008|CPHI|0|3309|A
20151008|CQH|2898|3574|A
20151008|CQP|9134|11851|A
20151008|CRF|3979|5619|A
20151008|CRHM|400|500|A
20151008|CRMD|12278|19169|A
20151008|CROX|1299|2462|A
20151008|CRVP|201|4035|A
20151008|CSCO|111001|178500|A
20151008|CTF|100|1247|A
20151008|CTO|880|2883|A
20151008|CUO|0|0|A
20151008|CVM|56763|64351|A
20151008|CVMWS|7484|33884|A
20151008|CVR|54|284|A
20151008|CVRS|4159|16051|A
20151008|CVSL|602|8200|A
20151008|CVU|100|697|A
20151008|DAKP|200|13401|A
20151008|DEJ|14740|55029|A
20151008|DGSE|1110|2300|A
20151008|DHY|24085|80635|A
20151008|DIT|0|0|A
20151008|DLA|529|1971|A
20151008|DMF|2673|4045|A
20151008|DNN|70094|112754|A
20151008|DPW|520|1356|A
20151008|DSS|11400|13888|A
20151008|DXR|748|948|A
