Date|Symbol|Short Exempt Volume|Short Volume|Total Volume|Market
20180305|A|0|600|600|A
20180305|AA|0|2300|5900|A
20180305|AABA|0|3000|8700|A
20180305|AAC|0|100|100|A
20180305|AAL|0|4000|4800|A
20180305|AAMC|0|300|400|A
20180305|AAN|0|1800|2700|A
20180305|AAOI|0|300|500|A
20180305|AAON|0|600|600|A
20180305|AAP|0|1767|1867|A
20180305|AAPL|100|15700|28192|A
20180305|AAT|0|500|1800|A
20180305|AAU|1100|6400|13790|A
20180305|AAV|2200|2300|2300|A
20180305|AAWW|0|200|479|A
20180305|AAXJ|0|600|1215|A
20180305|AAXN|0|2778|2978|A
20180305|AB|0|100|100|A
20180305|ABAX|0|200|200|A
20180305|ABB|100|1700|1700|A
20180305|ABBV|0|3900|7400|A
20180305|ABC|0|200|400|A
20180305|ABCB|0|127|527|A
20180305|ABCD|0|100|100|A
20180305|ABE|0|100|1000|A
20180305|ABEO|0|6127|8183|A
20180305|ABEV|100|20026|33247|A
20180305|ABG|0|600|1000|A
20180305|ABIL|0|0|900|A
20180305|ABM|0|1416|1416|A
20180305|ABMD|0|100|100|A
20180305|ABR|0|300|300|A
20180305|ABT|0|7451|11151|A
20180305|ABX|0|8100|11420|A
20180305|ACAD|0|100|300|A
20180305|ACC|0|200|500|A
20180305|ACCO|0|762|1835|A
20180305|ACET|0|700|700|A
20180305|ACGL|0|200|600|A
20180305|ACH|0|200|200|A
20180305|ACHC|0|500|600|A
20180305|ACHN|0|400|1200|A
20180305|ACIA|0|700|700|A
20180305|ACIW|0|600|1900|A
20180305|ACLS|0|1213|1913|A
20180305|ACM|0|1700|1900|A
20180305|ACN|0|2300|3200|A
20180305|ACOR|0|4900|6300|A
20180305|ACRE|0|100|300|A
20180305|ACRS|0|600|800|A
20180305|ACTG|0|140|140|A
20180305|ACU|0|100|2013|A
20180305|ACWI|0|16800|22200|A
20180305|ACXM|0|1300|1300|A
20180305|ADAP|0|600|800|A
20180305|ADBE|0|600|1700|A
20180305|ADC|0|408|608|A
20180305|ADES|0|200|200|A
20180305|ADI|0|1400|5055|A
20180305|ADM|0|1300|5600|A
20180305|ADMP|0|0|485|A
20180305|ADMS|0|100|200|A
20180305|ADP|0|1200|1800|A
20180305|ADRO|100|2909|4809|A
20180305|ADS|0|200|200|A
20180305|ADSK|0|2400|4977|A
20180305|ADSW|0|500|1000|A
20180305|ADT|0|500|2500|A
20180305|ADTN|0|292|992|A
20180305|ADVM|0|2300|4600|A
20180305|ADX|0|100|100|A
20180305|ADXS|0|2137|2737|A
20180305|AE|0|654|1197|A
20180305|AEE|0|900|1600|A
20180305|AEG|0|700|800|A
20180305|AEGN|0|900|900|A
20180305|AEIS|0|400|1300|A
20180305|AEL|0|0|100|A
20180305|AEM|200|1900|2500|A
20180305|AEMD|0|0|2005|A
20180305|AEO|0|5400|7000|A
