Date|Symbol|Short Exempt Volume|Short Volume|Total Volume|Market
20200804|AA|0|0|6|M
20200804|AAL|0|114|161|M
20200804|AAN|0|95|95|M
20200804|AAP|0|170|331|M
20200804|AAPL|0|679|272347|M
20200804|AAT|0|0|24|M
20200804|AAWW|0|176|176|M
20200804|AAXN|0|200|200|M
20200804|AB|0|100|100|M
20200804|ABBV|0|3|4|M
20200804|ABC|0|98|98|M
20200804|ABCB|0|0|100|M
20200804|ABEV|0|956|1009|M
20200804|ABG|0|105|105|M
20200804|ABIO|0|0|100|M
20200804|ABM|0|100|100|M
20200804|ABMD|0|344|444|M
20200804|ABT|0|200|7440|M
20200804|ABUS|0|0|100|M
20200804|ACAD|0|58|158|M
20200804|ACB|0|0|400|M
20200804|ACCD|0|0|145|M
20200804|ACHC|0|296|396|M
20200804|ACHV|0|200|200|M
20200804|ACI|0|109|109|M
20200804|ACIU|0|0|100|M
20200804|ACLS|0|106|106|M
20200804|ACMR|0|200|466|M
20200804|ACN|0|126|126|M
20200804|ACNB|0|48|48|M
20200804|ACRS|0|0|100|M
20200804|ACTG|0|0|97|M
20200804|ADAP|0|0|200|M
20200804|ADBE|0|400|439290|M
20200804|ADCT|0|151|151|M
20200804|ADI|0|400|400|M
20200804|ADMS|0|100|100|M
20200804|ADP|0|1082|3544|M
20200804|ADPT|0|100|100|M
20200804|ADS|0|0|58|M
20200804|ADSK|0|294|394|M
20200804|ADTX|0|0|100|M
20200804|ADVM|0|100|300|M
20200804|AE|0|0|100|M
20200804|AEE|0|0|28|M
20200804|AEIS|0|102|202|M
20200804|AEL|0|100|100|M
20200804|AEM|0|495|1295|M
20200804|AER|0|300|300|M
20200804|AERI|0|70|70|M
20200804|AES|0|341|988|M
20200804|AEYE|0|100|100|M
20200804|AFG|0|0|40|M
20200804|AFH|0|300|300|M
20200804|AFL|0|100|100|M
20200804|AGE|0|100|200|M
20200804|AGIO|0|715|915|M
20200804|AGQ|250|11333|25745|M
20200804|AGR|0|0|100|M
20200804|AGS|0|9|9|M
20200804|AHCO|0|0|85|M
20200804|AHPI|0|100|100|M
20200804|AHT|0|600|600|M
20200804|AIG|0|189|2326444|M
20200804|AIMC|0|80|80|M
20200804|AIN|0|191|191|M
20200804|AIR|0|187|187|M
20200804|AIT|0|0|100|M
20200804|AIZ|0|0|198|M
20200804|AJG|0|97|97|M
20200804|AKAM|0|100|300|M
20200804|AKBA|0|100|100|M
20200804|AKER|0|0|100|M
20200804|ALB|0|174|174|M
20200804|ALCO|0|30|30|M
20200804|ALDX|0|100|100|M
20200804|ALEC|0|100|100|M
20200804|ALGN|0|526|800|M
20200804|ALGT|0|64|100|M
20200804|ALJJ|0|6|6|M
20200804|ALK|0|1|1|M
20200804|ALL|0|125|125|M
20200804|ALLE|0|0|100|M
20200804|ALLO|0|208|208|M
20200804|ALLY|0|101|101|M
20200804|ALNY|0|188|238|M
20200804|ALRM|240|240|10604|M
20200804|ALT|0|296|496|M
20200804|ALXN|0|0|202|M
20200804|AMAT|0|101|653|M
20200804|AMBA|0|0|14400|M
20200804|AMCX|0|0|200|M
20200804|AMD|0|1014|62495|M
20200804|AME|0|344|344|M
20200804|AMED|0|0|77|M
20200804|AMG|0|100|100|M
20200804|AMGN|0|0|137|M
20200804|AMH|0|301|301|M
20200804|AMK|0|100|100|M
20200804|AMLP|0|1800|1800|M
20200804|AMNB|0|11|11|M
20200804|AMP|0|82|82|M
20200804|AMRC|0|100|100|M
20200804|AMRK|0|3|3|M
20200804|AMSF|0|5|88|M
20200804|AMT|0|246|266|M
20200804|AMTB|0|30|30|M
20200804|AMTD|0|1|1|M
20200804|AMTI|0|100|100|M
20200804|AMZN|0|822|117265|M
20200804|AN|0|298|298|M
20200804|ANAB|0|7|7|M
20200804|ANDE|0|68|68|M
20200804|ANET|0|653|653|M
20200804|ANIK|0|38|138|M
20200804|ANNX|0|16|50|M
20200804|ANSS|0|121|221|M
20200804|ANTM|0|280|621|M
20200804|ANY|400|500|600|M
20200804|AON|0|195|195|M
20200804|APA|0|1|101|M
20200804|APD|0|361|1103|M
20200804|APDN|0|62|62|M
20200804|APH|0|50|50|M
20200804|APHA|0|0|127|M
20200804|API|0|196|296|M
20200804|APLS|0|183|183|M
20200804|APO|0|100|200|M
20200804|APPF|0|100|100|M
20200804|APPN|0|158|158|M
20200804|APPS|0|0|28|M
20200804|APRN|0|109|109|M
20200804|APT|0|310|1925|M
20200804|APTV|0|100|300|M
20200804|AQN|0|100|100|M
20200804|AQUA|0|0|200|M
20200804|ARCC|0|0|100|M
20200804|ARCH|0|0|102|M
20200804|ARCT|0|5|90|M
20200804|ARE|0|0|100|M
20200804|ARES|0|109|109|M
20200804|ARGX|0|100|400|M
20200804|ARLO|0|0|100|M
20200804|ARMK|0|100|100|M
20200804|ARNA|0|48|48|M
20200804|ARNC|0|34|134|M
20200804|AROW|0|105|105|M
20200804|ARQT|0|100|100|M
20200804|ARWR|0|59|161|M
20200804|ASA|0|0|100|M
20200804|ASGN|0|99|99|M
20200804|ASHR|0|1|1|M
20200804|ASMB|0|0|100|M
20200804|ASML|0|0|69|M
20200804|ASND|0|112|112|M
20200804|ASPN|0|100|100|M
20200804|ASPS|0|50|50|M
20200804|ASR|0|0|2|M
20200804|ASTE|0|1|1|M
20200804|ATEN|0|0|100|M
20200804|ATHM|0|322|422|M
