Date|Symbol|Short Volume|Total Volume|Market
20130808|A|109889|440661|N
20130808|AA|1601854|3172954|N
20130808|AAN|32817|82440|N
20130808|AAP|184776|418115|N
20130808|AAT|10762|17812|N
20130808|AAV|29619|45668|N
20130808|AB|12195|30926|N
20130808|ABB|353627|555923|N
20130808|ABBV|261409|922854|N
20130808|ABC|171063|328345|N
20130808|ABG|15986|32584|N
20130808|ABM|19356|39010|N
20130808|ABR|12268|22755|N
20130808|ABRPRA|0|400|N
20130808|ABRPRB|200|200|N
20130808|ABT|539752|1381728|N
20130808|ABV|246722|700924|N
20130808|ABVC|1592|10064|N
20130808|ABWPRB|0|0|N
20130808|ABX|2766271|4773479|N
20130808|ACC|80285|175716|N
20130808|ACCO|76701|110347|N
20130808|ACE|86475|263054|N
20130808|ACG|22153|114773|N
20130808|ACH|13292|35632|N
20130808|ACI|817111|2229283|N
20130808|ACM|136958|236893|N
20130808|ACMP|16364|233412|N
20130808|ACN|219253|736522|N
20130808|ACO|9541|19576|N
20130808|ACP|1400|25187|N
20130808|ACRE|17445|57176|N
20130808|ACT|63089|128246|N
20130808|ACTV|47422|134550|N
20130808|ACW|29199|88988|N
20130808|ADC|8931|15801|N
20130808|ADM|716469|1224857|N
20130808|ADS|45857|59232|N
20130808|ADT|200052|370593|N
20130808|ADX|1125|7180|N
20130808|AEB|4722|11635|N
20130808|AEC|65133|97671|N
20130808|AED|2316|9042|N
20130808|AEE|85703|302879|N
20130808|AEF|3407|6787|N
20130808|AEG|236144|326233|N
20130808|AEH|10450|21824|N
20130808|AEK|5100|16829|N
20130808|AEL|147398|217632|N
20130808|AEM|286728|469755|N
20130808|AEO|337864|735439|N
20130808|AEP|256523|626186|N
20130808|AER|39549|150199|N
20130808|AES|679645|1233044|N
20130808|AESPRC|0|1150|N
20130808|AET|198867|696372|N
20130808|AEV|3725|5918|N
20130808|AF|94470|173444|N
20130808|AFA|300|4162|N
20130808|AFB|7403|57658|N
20130808|AFC|1011|4520|N
20130808|AFG|27743|54454|N
20130808|AFL|293300|498689|N
20130808|AFM|1187|3300|N
20130808|AFPRC|175|1575|N
20130808|AFQ|0|1433|N
20130808|AFSD|6141|8608|N
20130808|AFSIPRA|1800|3279|N
20130808|AFT|1772|7241|N
20130808|AFW|2096|6489|N
20130808|AG|154639|361120|N
20130808|AGC|7961|18577|N
20130808|AGCO|95083|155871|N
20130808|AGD|18071|66626|N
20130808|AGI|1709|5912|N
20130808|AGM|4429|15752|N
20130808|AGMA|0|0|N
20130808|AGMPRA|0|0|N
20130808|AGN|141946|390725|N
20130808|AGO|149214|491489|N
20130808|AGOPRB|500|2137|N
20130808|AGOPRE|1650|3312|N
20130808|AGOPRF|1050|2904|N
20130808|AGRO|10394|29750|N
20130808|AGU|142137|247297|N
20130808|AH|28891|61072|N
20130808|AHC|4966|11340|N
20130808|AHH|11922|55588|N
20130808|AHL|46364|151919|N
20130808|AHLPRA|1116|2171|N
20130808|AHLPRB|300|2092|N
20130808|AHLPRC|2595|6162|N
20130808|AHS|7762|45172|N
20130808|AHT|59613|90752|N
20130808|AHTPRA|673|2017|N
20130808|AHTPRD|1100|3480|N
20130808|AHTPRE|150|150|N
20130808|AI|7688|22769|N
20130808|AIB|811|2251|N
20130808|AIF|3800|11651|N
20130808|AIG|660072|1375163|N
20130808|AIGWS|7007|32849|N
20130808|AIN|10960|30791|N
20130808|AIR|18673|48968|N
20130808|AIT|17533|42608|N
20130808|AIV|52241|147590|N
20130808|AIVPRZ|0|500|N
20130808|AIW|200|900|N
20130808|AIY|600|1883|N
20130808|AIZ|74074|178195|N
20130808|AJG|51413|153759|N
20130808|AKOA|2700|4400|N
20130808|AKOB|2810|20507|N
20130808|AKP|754|6656|N
20130808|AKR|25626|95210|N
20130808|AKS|454189|1002699|N
20130808|AL|25301|115163|N
20130808|ALB|86332|218425|N
20130808|ALDW|5295|18399|N
20130808|ALE|28357|54476|N
20130808|ALEX|19926|44645|N
20130808|ALG|2194|5344|N
20130808|ALJ|57562|119177|N
20130808|ALK|145159|225971|N
20130808|ALL|320083|871226|N
20130808|ALLPRA|3909|10274|N
20130808|ALLPRB|8601|16590|N
20130808|ALLYPRA|7287|13311|N
20130808|ALLYPRB|9658|23410|N
20130808|ALPPRN|519|1567|N
20130808|ALPPRO|500|1000|N
20130808|ALPPRP|600|1500|N
20130808|ALR|306070|680543|N
20130808|ALRPRB|0|50|N
20130808|ALSN|55093|232294|N
20130808|ALU|720107|1910327|N
20130808|ALV|41997|68265|N
20130808|ALX|263|603|N
20130808|AM|37353|368361|N
20130808|AMBO|0|0|N
20130808|AMD|1393521|2221071|N
20130808|AME|125107|286282|N
20130808|AMG|47355|92803|N
20130808|AMH|103120|286385|N
20130808|AMID|847|1353|N
20130808|AMP|68046|140213|N
20130808|AMPPRA|469|2206|N
20130808|AMRC|39774|81731|N
20130808|AMRE|4832|7504|N
20130808|AMT|829442|1414311|N
20130808|AMTD|145132|291087|N
20130808|AMTG|46939|126900|N
20130808|AMTGPRA|300|700|N
20130808|AMX|1359219|2525993|N
20130808|AN|141233|234904|N
20130808|ANF|225590|437576|N
20130808|ANFI|1200|15953|N
20130808|ANH|38399|189154|N
20130808|ANHPRA|100|100|N
20130808|ANHPRB|0|100|N
20130808|ANN|123343|209971|N
20130808|ANR|709341|1652607|N
20130808|ANW|8900|24096|N
20130808|AOD|70427|116305|N
20130808|AOI|22452|51474|N
20130808|AOL|151224|277141|N
20130808|AON|282830|498287|N
20130808|AOS|92529|158155|N
20130808|AP|527|1697|N
20130808|APA|206615|615371|N
20130808|APAM|4009|8807|N
20130808|APB|0|373|N
20130808|APC|232359|793885|N
20130808|APD|180112|317865|N
20130808|APF|801|1301|N
20130808|APH|109330|231146|N
20130808|APL|18239|59497|N
20130808|APO|156738|353350|N
20130808|APU|17070|65873|N
20130808|ARB|8179|25794|N
20130808|ARC|10289|36952|N
20130808|ARCO|150180|345101|N
20130808|ARDC|4010|13676|N
20130808|ARE|32425|68880|N
20130808|AREPRE|0|5138|N
20130808|ARG|18168|47923|N
20130808|ARHPRC|1574|4301|N
