Date|Symbol|Short Exempt Volume|Short Volume|Total Volume|Market
20191007|A|70|44503|102868|N
20191007|AA|615|180719|410587|N
20191007|AAAU|0|0|100|N
20191007|AAC|0|200|745|N
20191007|AAL|0|80915|142597|N
20191007|AAN|12|47776|75674|N
20191007|AAOI|0|578|578|N
20191007|AAON|0|100|100|N
20191007|AAP|27|75800|95852|N
20191007|AAPL|5115|426755|797369|N
20191007|AAT|2|24541|46148|N
20191007|AAWW|0|1417|2437|N
20191007|AAXJ|0|21439|36620|N
20191007|AAXN|0|3690|4298|N
20191007|AB|456|32562|38369|N
20191007|ABB|3561|405137|512713|N
20191007|ABBV|4367|443851|614643|N
20191007|ABC|103|142978|205214|N
20191007|ABCB|0|1229|1429|N
20191007|ABEO|300|3500|7700|N
20191007|ABEV|0|2995094|4165489|N
20191007|ABG|0|8328|12444|N
20191007|ABM|2|27520|34376|N
20191007|ABMD|0|2200|4368|N
20191007|ABR|125|107810|161630|N
20191007|ABR PRA|0|100|200|N
20191007|ABT|4124|311672|437451|N
20191007|ABTX|0|200|200|N
20191007|ABUS|300|4800|11150|N
20191007|AC|0|395|400|N
20191007|ACA|200|18502|41349|N
20191007|ACAD|0|6558|17681|N
20191007|ACB|384506|2067554|2382780|N
20191007|ACC|0|43672|76480|N
20191007|ACCO|20|30158|48105|N
20191007|ACER|100|100|100|N
20191007|ACES|0|100|100|N
20191007|ACGL|0|7172|13250|N
20191007|ACH|100|1712|3207|N
20191007|ACHC|0|1832|1990|N
20191007|ACHN|0|6015|10015|N
20191007|ACIA|0|400|3193|N
20191007|ACIO|0|100|100|N
20191007|ACIW|0|6418|7418|N
20191007|ACLS|0|397|397|N
20191007|ACM|56|50244|84482|N
20191007|ACMR|100|1600|3000|N
20191007|ACN|1928|118652|200366|N
20191007|ACOR|0|7497|9197|N
20191007|ACP|1600|37512|49884|N
20191007|ACRE|0|9934|29712|N
20191007|ACRS|0|8199|20813|N
20191007|ACRX|0|6114|7034|N
20191007|ACST|0|6940|9440|N
20191007|ACTG|0|200|595|N
20191007|ACV|100|1600|8629|N
20191007|ACWF|0|0|100|N
20191007|ACWI|0|58747|180953|N
20191007|ACWV|0|200|300|N
20191007|ACWX|0|30168|44131|N
20191007|ADAP|0|2300|2900|N
20191007|ADBE|0|5112|7718|N
20191007|ADC|1|9609|15909|N
20191007|ADES|0|100|100|N
20191007|ADI|0|3539|6269|N
20191007|ADM|5500|242377|308955|N
20191007|ADMA|100|3112|5012|N
20191007|ADMP|100|3700|7000|N
20191007|ADMS|500|7310|10820|N
20191007|ADNT|748|80369|183192|N
20191007|ADP|0|1300|5393|N
20191007|ADPT|0|1800|1900|N
20191007|ADRD|0|0|100|N
20191007|ADRO|300|6028|10528|N
20191007|ADS|0|35141|58224|N
20191007|ADSK|0|4633|5233|N
20191007|ADSW|0|84403|114984|N
20191007|ADT|1150|139437|197286|N
20191007|ADTN|0|5306|7286|N
20191007|ADUS|0|200|200|N
20191007|ADVM|0|2960|10063|N
20191007|ADX|440|11368|27680|N
20191007|ADXS|27635|36196|90913|N
20191007|AEB|1|2053|3310|N
20191007|AEE|187|83648|158207|N
20191007|AEF|0|0|100|N
20191007|AEG|4892|329921|409226|N
20191007|AEGN|0|100|100|N
20191007|AEH|200|9891|14250|N
20191007|AEHR|0|100|100|N
20191007|AEIS|0|1000|1200|N
20191007|AEL|527|32635|49963|N
20191007|AEM|2176|122281|187112|N
20191007|AEMD|0|3135|3135|N
20191007|AEO|1049|598007|1036218|N
20191007|AEP|1911|116356|226953|N
20191007|AEP PRB|0|1043|31565|N
20191007|AEPPRB|0|0|21909|N
20191007|AER|0|53012|96605|N
20191007|AERI|0|16217|20026|N
20191007|AES|4615|239394|484478|N
20191007|AEYE|0|800|1100|N
20191007|AEZS|0|200|2300|N
20191007|AFB|0|639|3979|N
20191007|AFC|0|1255|2082|N
20191007|AFG|0|23587|42058|N
20191007|AFGB|0|604|5997|N
20191007|AFGE|0|430|4521|N
20191007|AFGH|14|14|533|N
20191007|AFI|0|27099|38210|N
20191007|AFIN|100|5350|6283|N
20191007|AFINP|0|3660|4760|N
20191007|AFL|441|380237|463622|N
20191007|AFMD|0|3999|8437|N
20191007|AFT|0|3510|10806|N
20191007|AFYA|0|700|800|N
20191007|AG|15398|339004|425160|N
20191007|AGCO|300|46696|72544|N
20191007|AGD|0|1907|8171|N
20191007|AGE|0|200|434|N
20191007|AGEN|0|13884|18633|N
20191007|AGG|0|9213|16703|N
20191007|AGGY|0|0|100|N
20191007|AGI|26588|253828|360427|N
20191007|AGIO|0|1000|1300|N
20191007|AGLE|0|100|100|N
20191007|AGM|0|3214|5119|N
20191007|AGM A|0|0|151|N
20191007|AGM PRA|0|0|768|N
20191007|AGM PRC|0|93|100|N
20191007|AGM PRD|0|142|447|N
20191007|AGN|1077|86229|227987|N
20191007|AGNC|0|45139|58019|N
20191007|AGNCO|0|200|2800|N
20191007|AGO|0|73002|150007|N
20191007|AGO PRB|0|200|200|N
20191007|AGO PRE|0|1027|5286|N
20191007|AGO PRF|0|889|3048|N
20191007|AGQ|0|0|429|N
20191007|AGR|0|39908|68315|N
20191007|AGRO|0|23688|30443|N
20191007|AGRX|0|6950|11525|N
20191007|AGS|111|23683|57464|N
20191007|AGTC|0|600|1200|N
20191007|AGX|3|15503|21783|N
20191007|AGYS|0|2382|4482|N
20191007|AGZ|0|0|100|N
20191007|AHC|1|524|9658|N
20191007|AHH|656|40642|73121|N
20191007|AHH PRA|0|100|204|N
20191007|AHL PRC|0|2900|6825|N
20191007|AHL PRD|0|255|2509|N
20191007|AHL PRE|0|5109|23257|N
20191007|AHT|0|61232|74719|N
20191007|AHT PRD|0|0|100|N
20191007|AHT PRF|0|44|485|N
20191007|AHT PRG|0|100|100|N
20191007|AHT PRH|1251|1251|1251|N
20191007|AHT PRI|0|894|1750|N
20191007|AI|1286|48126|60947|N
20191007|AI PRC|0|560|9183|N
20191007|AIC|0|0|500|N
20191007|AIEQ|0|0|400|N
20191007|AIF|78|3933|9248|N
20191007|AIG|854|212075|379395|N
20191007|AIG PRA|0|1290|4012|N
20191007|AIG WS|143|1457|46352|N
20191007|AIHS|697|1080|1180|N
20191007|AIMC|0|700|1120|N
20191007|AIMT|0|1500|4400|N
20191007|AIN|1|20172|33217|N
20191007|AINV|200|2008|4194|N
20191007|AIR|1|13563|23879|N
20191007|AIRG|0|100|100|N
20191007|AIRR|0|0|300|N
20191007|AIT|0|14826|24605|N
20191007|AIV|291|83786|145056|N
20191007|AIW|0|100|300|N
20191007|AIZ|1|26586|39209|N
20191007|AIZP|0|0|140|N
20191007|AJG|154|91513|118257|N
20191007|AJRD|1|25552|68184|N
20191007|AJX|1320|14925|42190|N
20191007|AKAM|0|9835|12635|N
20191007|AKBA|0|10209|16509|N
20191007|AKCA|100|21241|23316|N
20191007|AKG|0|1000|1100|N
20191007|AKO A|0|754|754|N
20191007|AKO B|0|4240|6065|N
20191007|AKR|0|22887|38478|N
20191007|AKRO|0|2294|4655|N
20191007|AKRX|0|11052|29981|N
20191007|AKS|16466|1013734|1469201|N
20191007|AKTS|200|500|500|N
20191007|AL|100|73593|90770|N
20191007|AL PRA|0|2392|5216|N
20191007|ALB|214|81538|158853|N
20191007|ALC|440|73394|106838|N
20191007|ALDR|0|12807|28200|N
20191007|ALDX|0|1786|1886|N
20191007|ALE|0|19337|30070|N
20191007|ALEC|0|1284|1284|N
20191007|ALEX|0|17671|29381|N
20191007|ALG|0|3306|5467|N
20191007|ALGN|0|6718|7118|N
20191007|ALJJ|0|400|400|N
20191007|ALK|340|69138|106498|N
20191007|ALKS|0|2930|3831|N
20191007|ALL|33|93232|174978|N
20191007|ALL PRA|0|100|300|N
20191007|ALL PRB|0|1120|4854|N
20191007|ALL PRDCL|0|0|100|N
20191007|ALL PRECL|0|1100|11883|N
20191007|ALL PRFCL|0|0|740|N
20191007|ALL PRG|0|699|4468|N
20191007|ALL PRH|1831|11460|22473|N
20191007|ALLE|5|29190|41001|N
20191007|ALLK|0|3200|4000|N
20191007|ALLO|0|2200|2800|N
20191007|ALLT|0|176|276|N
20191007|ALLY|298|487890|790531|N
20191007|ALLY PRA|0|8445|65694|N
20191007|ALNA|0|900|900|N
20191007|ALNY|0|800|900|N
20191007|ALO|200|200|200|N
20191007|ALOT|0|100|100|N
20191007|ALP PRQ|0|416|4091|N
20191007|ALRM|0|1200|1200|N
20191007|ALRN|200|300|300|N
20191007|ALSK|0|0|100|N
20191007|ALSN|0|37310|87071|N
20191007|ALTM|0|7278|8962|N
20191007|ALTR|0|1800|2200|N
20191007|ALTY|0|0|300|N
20191007|ALV|2722|66051|76673|N
20191007|ALX|0|1528|2724|N
20191007|ALXN|0|9024|18385|N
20191007|AM|1069|594864|649559|N
20191007|AMAG|0|7599|10299|N
20191007|AMAT|0|80798|126666|N
20191007|AMBA|0|2000|3700|N
20191007|AMBC|0|1250|1948|N
20191007|AMC|1872|133300|202239|N
20191007|AMCR|16|393557|667962|N
20191007|AMCX|0|100|100|N
20191007|AMD|400|290797|699928|N
20191007|AME|102|55133|94475|N
20191007|AMED|0|600|800|N
20191007|AMEH|0|300|300|N
20191007|AMG|3|46545|82931|N
20191007|AMGN|0|10149|21949|N
20191007|AMH|3185|159314|268899|N
20191007|AMH PRD|0|457|2144|N
20191007|AMH PRE|0|200|542|N
20191007|AMH PRF|0|0|131|N
20191007|AMH PRG|0|676|676|N
20191007|AMH PRH|0|892|10635|N
20191007|AMJ|2300|11160|15285|N
20191007|AMK|23|11130|14204|N
20191007|AMKR|0|10930|17213|N
20191007|AMLP|14800|437637|506100|N
20191007|AMN|380|17338|23824|N
20191007|AMOV|0|400|1531|N
20191007|AMP|1699|82755|99964|N
20191007|AMPE|500|7834|10209|N
20191007|AMPH|0|1836|2320|N
20191007|AMPY|128|16488|26490|N
20191007|AMRC|1|5533|8865|N
20191007|AMRH|0|73|2673|N
20191007|AMRN|600|37175|82613|N
20191007|AMRS|0|11900|14526|N
20191007|AMRX|1407|91106|128064|N
20191007|AMSC|0|400|500|N
20191007|AMSF|0|300|300|N
20191007|AMT|97|69389|113793|N
20191007|AMTB|0|600|600|N
20191007|AMTD|0|79847|149335|N
20191007|AMU|0|1200|7344|N
20191007|AMWD|0|11815|21931|N
20191007|AMX|1|98612|149319|N
20191007|AMZA|0|4200|18347|N
20191007|AMZN|100|4607|5407|N
20191007|AN|0|45608|70794|N
20191007|ANAB|0|810|910|N
20191007|ANDE|0|600|800|N
20191007|ANET|261|34203|48174|N
20191007|ANF|374|176057|332347|N
20191007|ANFI|1081|38652|77243|N
20191007|ANGI|0|39964|44458|N
20191007|ANGL|0|900|5200|N
20191007|ANGO|0|400|2500|N
20191007|ANH|220|72636|105890|N
20191007|ANH PRA|0|600|600|N
20191007|ANH PRC|0|624|824|N
20191007|ANIP|0|100|100|N
20191007|ANSS|0|1801|2301|N
20191007|ANTM|277|83669|161950|N
20191007|ANY|0|100|100|N
20191007|AOA|0|703|703|N
20191007|AOBC|0|20823|30494|N
20191007|AOD|41|15096|32654|N
20191007|AOK|0|590|590|N
20191007|AOM|0|834|834|N
20191007|AON|137|44046|51402|N
20191007|AOR|0|400|400|N
20191007|AOS|5009|65092|142539|N
20191007|AOSL|0|700|969|N
