Date|Symbol|Short Exempt Volume|Short Volume|Total Volume|Market
20190322|A|0|3200|7533|C
20190322|AA|0|25900|41173|C
20190322|AABA|0|83800|130925|C
20190322|AAC|100|100|1300|C
20190322|AAL|100|110870|141295|C
20190322|AAN|0|1300|1400|C
20190322|AAOI|0|4100|5500|C
20190322|AAON|0|2000|2200|C
20190322|AAP|0|3315|4674|C
20190322|AAPL|0|47967|71027|C
20190322|AAU|0|0|100|C
20190322|AAWW|0|600|900|C
20190322|AAXJ|0|18100|20300|C
20190322|AAXN|100|3800|4600|C
20190322|AB|0|2600|4400|C
20190322|ABB|5553|49618|63594|C
20190322|ABBV|0|7600|23095|C
20190322|ABC|0|3120|4671|C
20190322|ABCB|0|2000|2200|C
20190322|ABDC|0|700|1000|C
20190322|ABEO|0|8523|11042|C
20190322|ABEV|300|914205|953971|C
20190322|ABG|0|200|200|C
20190322|ABIL|400|400|600|C
20190322|ABM|0|8800|11400|C
20190322|ABMD|0|1000|1000|C
20190322|ABR|0|29961|32061|C
20190322|ABT|0|69647|90060|C
20190322|ABTX|0|0|200|C
20190322|ABUS|0|900|1800|C
20190322|ACA|0|400|800|C
20190322|ACAD|0|14800|19542|C
20190322|ACB|27471|308966|570119|C
20190322|ACBI|0|800|900|C
20190322|ACC|0|2100|3800|C
20190322|ACCO|0|18000|18200|C
20190322|ACER|0|300|300|C
20190322|ACET|0|2667|7567|C
20190322|ACGL|0|10943|15389|C
20190322|ACH|0|1500|1800|C
20190322|ACHC|0|4419|5419|C
20190322|ACHN|0|74021|77621|C
20190322|ACHV|0|1000|1300|C
20190322|ACIA|0|2000|3400|C
20190322|ACIU|100|2300|4119|C
20190322|ACIW|0|11226|11926|C
20190322|ACLS|0|4900|5400|C
20190322|ACM|0|7800|8800|C
20190322|ACMR|0|700|1000|C
20190322|ACN|0|4382|7443|C
20190322|ACOR|0|7151|8651|C
20190322|ACP|0|0|132|C
20190322|ACRE|0|5200|7400|C
20190322|ACRS|0|19353|22944|C
20190322|ACRX|0|39405|43132|C
20190322|ACST|0|400|1100|C
20190322|ACTG|0|3200|5300|C
20190322|ACWI|0|32447|32847|C
20190322|ACWV|0|100|100|C
20190322|ACWX|0|17607|21807|C
20190322|ADAP|0|1684|3584|C
20190322|ADBE|0|12176|13598|C
20190322|ADC|0|1000|2437|C
20190322|ADES|0|1800|4000|C
20190322|ADI|100|7400|15900|C
20190322|ADIL|100|100|400|C
20190322|ADM|0|39698|45198|C
20190322|ADMA|0|300|1300|C
20190322|ADMP|0|2925|5325|C
20190322|ADMS|0|2700|2700|C
20190322|ADNT|0|19504|23504|C
20190322|ADOM|0|200|200|C
20190322|ADP|0|3555|5455|C
20190322|ADRO|0|21193|25999|C
20190322|ADS|0|1400|2400|C
20190322|ADSK|0|7100|11363|C
20190322|ADSW|0|9300|10800|C
20190322|ADT|0|40415|46415|C
20190322|ADTN|0|10800|13900|C
20190322|ADUS|0|600|1100|C
20190322|ADVM|0|3500|6100|C
20190322|ADX|0|1300|2200|C
20190322|ADXS|0|500|800|C
20190322|AEE|0|2965|8214|C
20190322|AEG|100|102299|144030|C
20190322|AEGN|0|900|900|C
20190322|AEHR|0|200|200|C
20190322|AEIS|0|600|600|C
20190322|AEL|0|7800|10911|C
20190322|AEM|100|19440|24040|C
20190322|AEO|0|74305|86289|C
20190322|AEP|0|11700|15715|C
20190322|AER|0|18667|22036|C
20190322|AERI|0|1000|1200|C
20190322|AES|0|134372|146023|C
20190322|AEZS|200|1600|2400|C
20190322|AFC|0|0|100|C
20190322|AFG|0|1100|2500|C
20190322|AFH|0|2200|2600|C
20190322|AFI|0|300|500|C
20190322|AFIN|0|400|700|C
20190322|AFL|100|49995|53295|C
20190322|AFMD|0|6000|8700|C
20190322|AFT|0|200|300|C
20190322|AG|400|70397|82001|C
20190322|AGCO|0|9585|12243|C
20190322|AGD|0|100|500|C
20190322|AGEN|0|34409|37909|C
20190322|AGFS|0|6900|9100|C
20190322|AGG|0|14334|20034|C
20190322|AGGE|0|0|100|C
20190322|AGI|400|47369|52769|C
20190322|AGIO|0|1300|1400|C
20190322|AGM|0|300|400|C
20190322|AGN|0|2800|4003|C
20190322|AGNC|0|57766|79645|C
20190322|AGNCM|0|700|700|C
20190322|AGO|0|2500|2800|C
20190322|AGO PRE|0|0|100|C
20190322|AGQ|0|1000|1300|C
20190322|AGR|0|1418|2066|C
20190322|AGRO|0|3600|4800|C
20190322|AGRX|0|3938|4238|C
20190322|AGS|0|800|3200|C
20190322|AGTC|0|600|900|C
20190322|AGX|0|1300|1600|C
20190322|AGYS|0|600|700|C
20190322|AGZ|0|100|900|C
20190322|AGZD|0|0|200|C
20190322|AHH|0|3900|4100|C
20190322|AHT|0|21524|22171|C
20190322|AI|0|18895|23198|C
20190322|AIG|0|59662|69557|C
20190322|AIMC|0|11200|12500|C
20190322|AIMT|0|6400|7500|C
20190322|AIN|0|500|800|C
20190322|AINV|0|3000|5200|C
20190322|AIPT|0|1000|1000|C
20190322|AIR|0|1000|1200|C
20190322|AIRG|0|200|200|C
20190322|AIT|0|800|800|C
20190322|AIV|0|5400|8695|C
20190322|AIZ|0|2027|3127|C
20190322|AJG|0|2100|3000|C
20190322|AJRD|0|8200|8500|C
20190322|AKAM|0|4900|5700|C
20190322|AKAO|0|6500|12800|C
20190322|AKBA|0|16395|18795|C
20190322|AKCA|0|100|100|C
20190322|AKR|0|5500|6456|C
20190322|AKRX|0|43193|70257|C
20190322|AKS|228|205211|228392|C
20190322|AKTS|0|1600|1600|C
20190322|AKTX|0|0|200|C
20190322|AL|0|6300|7500|C
20190322|ALB|0|2000|3504|C
20190322|ALBO|0|400|400|C
20190322|ALDR|0|6500|7900|C
20190322|ALDX|0|300|400|C
20190322|ALE|0|800|900|C
20190322|ALEC|0|200|200|C
20190322|ALEX|0|1700|1900|C
20190322|ALG|0|1700|2300|C
20190322|ALGN|0|6800|13518|C
20190322|ALGT|0|300|300|C
20190322|ALIM|0|500|600|C
20190322|ALK|0|8700|10684|C
20190322|ALKS|0|3600|5521|C
20190322|ALL|0|4312|8497|C
20190322|ALLE|0|1844|2830|C
20190322|ALLK|0|800|900|C
20190322|ALLO|0|700|1400|C
20190322|ALLT|0|2100|5800|C
20190322|ALLY|0|66677|104062|C
20190322|ALNY|0|2500|3400|C
20190322|ALO|0|200|200|C
20190322|ALRM|0|2600|3200|C
20190322|ALRN|0|0|200|C
20190322|ALSK|100|600|1200|C
20190322|ALSN|0|3200|4500|C
20190322|ALT|0|3812|5812|C
20190322|ALTM|0|1200|1200|C
20190322|ALTR|0|700|1460|C
20190322|ALV|0|1000|2429|C
20190322|ALXN|0|5136|7036|C
20190322|ALYA|0|100|100|C
20190322|AM|0|17112|20736|C
20190322|AMAG|0|8026|8426|C
20190322|AMAL|0|0|100|C
20190322|AMAT|0|91125|114552|C
20190322|AMBA|0|1500|3200|C
20190322|AMBC|0|7251|8051|C
20190322|AMC|0|15900|18100|C
20190322|AMCX|0|2100|2300|C
20190322|AMD|100|647778|948981|C
20190322|AME|0|3700|6370|C
20190322|AMED|0|500|700|C
20190322|AMEH|0|0|200|C
20190322|AMG|0|3000|4100|C
20190322|AMGN|0|5100|18403|C
20190322|AMH|0|29875|37175|C
20190322|AMH PRD|0|0|100|C
20190322|AMID|0|3388|4688|C
20190322|AMJ|0|35798|40994|C
20190322|AMKR|0|55673|62853|C
20190322|AMLP|0|196368|201468|C
20190322|AMN|0|2880|2880|C
20190322|AMNB|0|0|100|C
20190322|AMOT|0|1000|1500|C
20190322|AMP|0|2545|3145|C
20190322|AMPE|0|100|100|C
20190322|AMPH|0|7000|9321|C
20190322|AMR|0|9300|12500|C
20190322|AMRC|0|2800|3600|C
20190322|AMRH|0|0|1500|C
20190322|AMRN|0|30900|40561|C
20190322|AMRS|0|15286|40609|C
20190322|AMRX|0|14900|17600|C
20190322|AMSC|0|7600|9400|C
20190322|AMSF|0|800|1200|C
20190322|AMSWA|0|987|1204|C
20190322|AMT|0|2700|5726|C
20190322|AMTD|0|10100|17100|C
20190322|AMTX|0|100|300|C
20190322|AMWD|0|600|700|C
20190322|AMX|2100|37427|48741|C
20190322|AMZA|0|4149|4349|C
20190322|AMZN|0|16610|26010|C
20190322|AN|0|9105|10105|C
20190322|ANAB|0|1200|1200|C
20190322|ANAT|0|200|400|C
20190322|ANDE|0|400|500|C
20190322|ANDX|0|597|797|C
20190322|ANET|0|2400|3712|C
20190322|ANF|0|8400|11800|C
20190322|ANFI|0|200|500|C
20190322|ANGI|0|13800|15600|C
20190322|ANGL|0|100|200|C
20190322|ANGO|0|6500|7200|C
20190322|ANH|0|15164|15864|C
20190322|ANIK|0|100|100|C
20190322|ANSS|0|1200|1800|C
20190322|ANTM|0|3100|4500|C
20190322|AOA|0|400|400|C
20190322|AOBC|0|20400|26466|C
20190322|AOD|0|1400|1400|C
20190322|AON|0|2800|3800|C
20190322|AOR|0|0|100|C
